firstName,lastName,gender,level,establishment,phoneNumber
Sirine,Hamidi,F,1er année,Lycée Averroès,0637306117
Imane,Fassi,F,2eme année,Lycée Averroès,0651663938
Rayan,Khelifi,M,3eme année,,0637139657
Ines,Merzouk,F,2eme année,Lycée Ibn Sina,0650526471
Sofiane,Nasri,M,3eme année,,0682704597
Younes,Haddad,M,2eme année,Lycée Ibn Sina,0615726541
Rayan,Saadi,M,1er année,Collège El Fath,0617420878
Anis,Sebti,M,1er année,,0699540185
Idris,Bennani,M,1er année,Collège El Fath,0648255836
Amira,Idrissi,F,2eme année,Lycée Ibn Sina,0678843910
Sirine,Haddad,F,1er année,Lycée Ibn Sina,0618967957
Mehdi,Brahimi,M,1er année,Lycée Averroès,0629959905
Sana,Fassi,F,3eme année,,0648397561
Ayoub,Cherkaoui,M,3eme année,,0691689335
Ayoub,Kaci,M,3eme année,,0672671364
Imane,Belkacem,F,2eme année,Lycée Ibn Sina,0683418383
Lamia,Fassi,F,3eme année,Lycée Ibn Sina,0625571176
Yasmine,Rahmani,F,3eme année,Collège El Fath,0620470055
Omar,Rahmani,M,3eme année,,0636435973
Anis,Rahmani,M,2eme année,,0664724180
Sana,Khelifi,F,2eme année,Lycée Averroès,0611438223
Sofiane,Cherif,M,1er année,Lycée Ibn Sina,0663773360
Zakaria,Ould,M,2eme année,Lycée Averroès,0695125062
Ayoub,Kaci,M,3eme année,Lycée Ibn Sina,0694178877
Zakaria,Fassi,M,1er année,Collège El Fath,0622145763
Nour,Slimani,F,3eme année,Lycée Averroès,0664503201
Nabil,Amrani,M,3eme année,,0645606432
Imane,Khelifi,F,3eme année,Lycée Ibn Sina,0649079351
Chaima,Alaoui,F,3eme année,,0619400093
Ayoub,Khelifi,M,1er année,Lycée Averroès,0628506582
Reda,Bennani,M,2eme année,Lycée Ibn Sina,0618568653
Sana,Sebti,F,1er année,Collège El Fath,0628532317
Sana,Hamidi,F,1er année,Collège El Fath,0668467099
Ines,Slimani,F,1er année,Lycée Ibn Sina,0675155177
Zakaria,Saadi,M,2eme année,Lycée Ibn Sina,0616003917
Malak,Sebti,F,3eme année,,0643094556
Douaa,Ferhat,F,3eme année,Collège El Fath,0685432591
Hamza,Rahmani,M,1er année,,0622239001
Sana,Ould,F,3eme année,Collège El Fath,0624197411
Sirine,Boudiaf,F,1er année,Lycée Averroès,0640822038
Ines,Brahimi,F,2eme année,,0613631321
Rayan,Bouzid,M,1er année,,0667997870
Zakaria,Sebti,M,1er année,,0653903597
Walid,Belkacem,M,3eme année,,0681104563
Sofiane,Slimani,M,1er année,Lycée Averroès,0677461331
Ines,Brahimi,F,2eme année,,0613408308
Amine,Cherif,M,3eme année,Collège El Fath,0679428887
Anis,Cherkaoui,M,3eme année,Collège El Fath,0621003876
Anis,Brahimi,M,2eme année,,0690478555
Bilal,Amrani,M,3eme année,,0670779956
Meriem,Alaoui,F,2eme année,Lycée Ibn Sina,0676556346
Imane,Hamidi,F,1er année,Collège El Fath,0632271072
Chaima,Fassi,F,1er année,Collège El Fath,0699158332
Sana,Sebti,F,3eme année,Lycée Averroès,0692688444
Mehdi,Khelifi,M,1er année,Collège El Fath,0692253874
Walid,Ould,M,1er année,,0690116222
Nour,Nasri,F,1er année,Lycée Averroès,0639122405
Adam,Khelifi,M,1er année,Collège El Fath,0636314391
Lina,Hamidi,F,1er année,,0631417972
Farah,Sebti,F,2eme année,,0670985903
Imane,Nasri,F,1er année,,0693983132
Meriem,Nasri,F,3eme année,Lycée Averroès,0634968360
Ilyes,Amrani,M,1er année,,0655999031
Zakaria,Saadi,M,1er année,,0628301697
Idris,Saadi,M,2eme année,,0623934778
Nabil,Brahimi,M,2eme année,,0642996408
Walid,Lahlou,M,2eme année,Collège El Fath,0694135225
Kenza,Cherif,F,2eme année,,0688266827
Adam,Cherkaoui,M,1er année,,0683442330
Hiba,Cherif,F,2eme année,Lycée Averroès,0612714245
Rania,Bouzid,F,1er année,Lycée Ibn Sina,0635563913
Reda,Djaidri,M,3eme année,Lycée Averroès,0642708348
Omar,Sebti,M,2eme année,Lycée Ibn Sina,0669018167
Lina,Djaidri,F,1er année,Lycée Ibn Sina,0639425487
Kenza,Merzouk,F,2eme année,,0636263908
Mehdi,Kaci,M,1er année,Lycée Averroès,0695519223
Douaa,Haddad,F,1er année,,0672691446
Idris,Ould,M,1er année,,0630279688
